,no,player,team,avg,game,pa,ab,r,h,2b,3b,hr,tb,rbi,sb,cs,sac,sf,bb,ibb,db,so,gidp,slg,obp
25,24,中島　裕之,(オ),.240,117,483,417,43,100,19,0,10,149,46,1,2,0,1,53,1,12,93,10,.357,.342
26,25,安達　了一,(オ),.239,139,593,506,57,121,16,3,11,176,55,16,15,29,4,48,0,6,68,11,.348,.310
27,26,後藤　光尊,(楽),.237,117,444,413,31,98,18,0,9,143,42,13,8,10,4,12,0,5,48,8,.346,.265
28,27,メヒア,(西),.235,135,525,473,52,111,31,0,27,223,89,0,0,0,2,45,1,5,153,14,.471,.307
29,28,レアード,(日),.231,143,554,498,62,115,22,2,34,243,97,1,0,0,4,43,0,9,129,18,.488,.301
30,29,今宮　健太,(ソ),.228,142,530,457,52,104,18,3,7,149,45,3,3,35,4,34,0,0,83,13,.326,.279
31,30,炭谷　銀仁朗,(西),.211,133,443,399,31,84,16,0,4,112,35,0,0,22,2,16,0,4,87,7,.281,.247
2,1,坂本　勇人,(巨),.344,137,576,488,96,168,28,3,23,271,75,13,3,1,6,81,2,0,67,6,.555,.433
3,2,鈴木　誠也,(広),.335,129,528,466,76,156,26,8,29,285,95,16,11,3,3,53,1,3,79,10,.612,.404
4,3,筒香　嘉智,(デ),.322,133,561,469,89,151,28,4,44,319,110,0,1,0,2,87,1,3,105,6,.680,.430
5,4,菊池　涼介,(広),.315,141,640,574,92,181,22,3,13,248,56,13,5,23,3,40,0,0,106,3,.432,.358
6,5,福留　孝介,(神),.311,131,523,453,52,141,25,3,11,205,59,0,1,0,6,61,5,3,78,6,.453,.392
7,6,山田　哲人,(ヤ),.304,133,590,481,102,146,26,3,38,292,102,30,2,0,4,97,0,8,101,16,.607,.425
8,7,村田　修一,(巨),.302,143,576,529,58,160,32,0,25,267,81,1,3,2,2,38,0,5,83,21,.505,.354
9,8,川端　慎吾,(ヤ),.302,103,458,420,48,127,22,1,1,154,32,3,0,1,2,34,0,1,31,13,.367,.354
10,9,新井　貴浩,(広),.300,132,513,454,66,136,23,2,19,220,101,0,1,0,4,54,1,1,101,12,.485,.372
11,10,坂口　智隆,(ヤ),.295,141,607,526,74,155,14,5,0,179,39,7,4,5,5,63,0,8,66,5,.340,.375
12,11,倉本　寿彦,(デ),.294,141,566,534,38,157,19,2,1,183,38,2,3,5,3,22,0,2,98,13,.343,.323
13,12,大島　洋平,(中),.292,143,656,599,80,175,27,9,3,229,27,26,12,4,1,46,1,6,69,3,.382,.348
14,13,丸　佳浩,(広),.291,143,652,557,98,162,30,8,20,268,90,23,9,1,3,84,1,7,107,9,.481,.389
15,14,桑原　将志,(デ),.284,133,522,462,80,131,23,2,11,191,49,19,11,8,0,38,0,14,93,5,.413,.356
16,15,長野　久義,(巨),.283,143,618,576,58,163,28,4,11,232,42,8,2,1,3,33,0,5,78,7,.403,.326
17,16,髙山　俊,(神),.275,134,530,494,48,136,23,5,8,193,65,5,4,2,3,27,1,4,109,8,.391,.316
18,17,ビシエド,(中),.274,119,471,416,63,114,22,0,22,202,68,1,0,0,3,44,0,8,68,13,.486,.352
19,18,梶谷　隆幸,(デ),.273,107,450,396,69,108,20,4,18,190,56,26,7,1,0,49,0,4,110,2,.480,.359
20,19,バレンティン,(ヤ),.269,132,537,457,64,123,20,0,31,236,96,0,1,0,5,72,2,3,116,19,.516,.369
21,20,田中　広輔,(広),.265,143,679,581,102,154,17,3,13,216,39,28,19,3,1,77,1,17,119,1,.372,.367
22,21,ロペス,(デ),.263,123,518,483,66,127,27,1,34,258,95,0,0,0,7,24,0,4,75,12,.534,.299
23,22,ギャレット,(巨),.258,123,465,422,48,109,22,1,24,205,68,0,1,0,0,39,0,4,106,10,.486,.327
24,23,ゴメス,(神),.255,139,554,498,58,127,20,0,22,213,79,2,1,0,3,48,3,5,130,13,.428,.325
25,24,堂上　直倫,(中),.254,131,507,456,38,116,25,3,6,165,46,1,1,20,2,27,0,2,69,14,.362,.298
26,25,平田　良介,(中),.248,118,494,416,61,103,24,1,14,171,73,4,2,0,4,72,1,2,89,5,.411,.358
27,26,鳥谷　敬,(神),.236,143,533,449,49,106,16,1,7,145,36,13,3,1,6,75,0,2,80,12,.323,.344
28,27,小林　誠司,(巨),.204,129,458,398,27,81,12,1,4,107,35,2,1,19,1,36,5,4,76,10,.269,.276
2,1,角中　勝也,(ロ),.339,143,607,525,74,178,30,5,8,242,69,12,4,2,6,68,6,6,64,8,.461,.417
3,2,西川　遥輝,(日),.314,138,593,493,76,155,18,4,5,196,43,41,5,22,2,73,0,3,113,0,.398,.405
4,3,浅村　栄斗,(西),.309,143,611,557,73,172,40,0,24,284,82,8,6,3,6,38,0,7,108,18,.510,.357
5,4,糸井　嘉男,(オ),.306,143,616,532,79,163,24,1,17,240,70,53,17,0,2,75,5,7,84,13,.451,.398
6,5,柳田　悠岐,(ソ),.306,120,536,428,82,131,31,4,18,224,73,23,2,0,0,100,2,8,97,8,.523,.446
7,6,内川　聖一,(ソ),.304,141,605,556,62,169,19,0,18,242,106,3,2,0,9,38,2,2,53,27,.435,.345
8,7,秋山　翔吾,(西),.296,143,671,578,98,171,32,4,11,244,62,18,6,0,6,77,2,10,103,2,.422,.385
9,8,陽　岱鋼,(日),.293,130,555,495,66,145,24,1,14,213,61,5,6,7,1,42,1,10,121,10,.430,.359
10,9,中村　晃,(ソ),.287,143,612,488,69,140,21,1,7,184,50,6,5,9,4,99,4,12,53,8,.377,.416
11,10,鈴木　大地,(ロ),.285,143,583,501,62,143,30,2,6,195,61,3,1,16,7,50,2,9,56,9,.389,.356
12,11,Ｔ－岡田,(オ),.284,123,513,454,56,129,25,0,20,214,76,5,1,0,5,47,5,7,105,12,.471,.357
13,12,デスパイネ,(ロ),.280,134,570,496,81,139,27,0,24,238,92,0,3,0,7,64,3,3,89,25,.480,.361
14,13,栗山　巧,(西),.279,135,569,477,52,133,30,2,3,176,41,0,0,0,3,83,0,6,87,9,.369,.390
15,14,茂木　栄五郎,(楽),.278,117,481,424,56,118,20,7,7,173,40,11,4,21,2,30,0,4,95,8,.408,.330
16,15,銀次,(楽),.274,125,497,424,39,116,17,1,2,141,43,1,1,4,3,61,5,5,49,20,.333,.369
17,16,安達　了一,(オ),.273,118,488,403,51,110,15,1,1,130,34,6,6,35,4,42,0,4,53,4,.323,.344
18,17,田中　賢介,(日),.272,143,626,541,61,147,14,1,2,169,53,22,8,3,4,69,3,9,56,4,.312,.361
19,18,金子　侑司,(西),.265,129,520,460,64,122,12,3,1,143,33,53,17,13,1,40,0,6,69,5,.311,.331
20,19,ウィーラー,(楽),.265,140,589,517,74,137,25,2,27,247,88,2,1,0,2,58,0,12,123,10,.478,.351
21,20,藤田　一也,(楽),.265,120,449,408,27,108,13,5,0,131,46,1,1,18,3,19,0,1,44,7,.321,.297
22,21,西野　真弘,(オ),.264,143,610,538,63,142,16,7,2,178,33,16,5,13,1,56,0,2,55,7,.331,.335
23,22,レアード,(日),.263,143,598,547,71,144,21,0,39,282,97,0,0,0,4,44,1,3,138,16,.516,.319
24,23,松田　宣浩,(ソ),.259,143,609,548,79,142,23,5,27,256,85,6,6,0,5,48,2,8,141,14,.467,.325
25,24,メヒア,(西),.252,137,583,511,73,129,26,0,35,260,103,1,1,0,7,59,4,6,148,15,.509,.333
26,25,岡島　豪郎,(楽),.252,127,485,420,44,106,13,4,6,145,35,7,9,6,3,46,2,10,49,4,.345,.338
27,26,中田　翔,(日),.250,141,624,569,61,142,26,1,25,245,110,2,1,0,5,47,1,3,126,14,.431,.308
28,27,今宮　健太,(ソ),.245,137,590,497,74,122,22,5,10,184,56,8,4,38,5,47,0,3,86,7,.370,.312
29,28,中島　卓也,(日),.243,143,600,473,66,115,10,1,0,127,28,23,9,62,1,63,0,1,117,5,.268,.333
2,1,宮﨑　敏郎,(デ),.323,128,523,480,53,155,28,1,15,230,62,0,0,0,1,38,1,4,47,23,.479,.377
3,2,マギー,(巨),.315,139,586,523,67,165,48,1,18,269,77,4,1,0,4,58,4,1,107,20,.514,.382
