,no,player,team,avg,game,pa,ab,r,h,2b,3b,hr,tb,rbi,sb,cs,sac,sf,bb,ibb,db,so,gidp,slg,obp
2,1,頓宮　裕真,(オ),.307,113,451,401,49,123,23,0,16,194,49,0,0,1,2,41,0,6,69,11,.484,.378
3,2,近藤　健介,(ソ),.303,143,613,492,75,149,33,0,26,260,87,3,4,0,6,109,7,6,117,7,.528,.431
4,3,柳田　悠岐,(ソ),.299,143,625,546,57,163,29,3,22,264,85,1,0,0,6,64,1,9,97,9,.484,.378
5,4,森　友哉,(オ),.294,110,453,384,49,113,24,2,18,195,64,4,1,1,7,54,4,7,61,9,.508,.385
6,5,松本　剛,(日),.276,134,561,507,51,140,16,2,3,169,30,12,12,7,3,37,3,7,57,11,.333,.332
7,6,紅林　弘太郎,(オ),.275,127,482,443,37,122,19,1,8,167,39,4,6,7,3,28,0,1,63,19,.377,.318
8,7,中村　晃,(ソ),.274,136,585,511,52,140,13,2,5,172,37,0,2,7,4,60,3,3,53,8,.337,.351
9,8,浅村　栄斗,(楽),.274,143,601,522,64,143,20,0,26,241,78,2,1,0,1,75,4,3,108,9,.462,.368
10,9,中川　圭太,(オ),.269,135,563,506,66,136,29,5,12,211,55,5,5,6,1,43,0,7,90,9,.417,.334
11,10,万波　中正,(日),.265,141,582,533,69,141,33,0,25,249,74,2,1,2,2,41,2,4,138,12,.467,.321
12,11,辰己　涼介,(楽),.263,133,495,434,45,114,16,5,9,167,43,13,4,8,1,40,0,12,99,3,.385,.341
13,12,外崎　修汰,(西),.260,136,571,503,60,131,28,3,12,201,54,26,3,3,4,56,0,5,114,11,.400,.338
14,13,マキノン,(西),.259,127,514,464,50,120,17,2,15,186,50,1,1,0,2,48,0,0,91,7,.401,.327
15,14,小深田　大翔,(楽),.258,134,549,477,67,123,8,6,5,158,37,36,6,20,1,48,0,3,83,8,.331,.329
16,15,今宮　健太,(ソ),.255,126,484,427,38,109,22,0,9,158,48,4,0,24,4,27,1,2,58,14,.370,.300
17,16,マルティネス,(日),.246,119,444,386,39,95,24,0,15,164,66,0,4,0,3,44,0,11,99,15,.425,.338
18,17,宗　佑磨,(オ),.245,122,478,428,38,105,17,3,2,134,22,1,1,9,1,36,1,4,55,9,.313,.309
19,18,ポランコ,(ロ),.242,125,497,447,43,108,15,0,26,201,75,0,0,0,3,47,5,0,92,3,.450,.312
20,19,安田　尚憲,(ロ),.238,122,472,416,33,99,24,0,9,150,43,2,0,0,5,49,2,2,95,10,.361,.318
21,20,野村　佑希,(日),.236,125,473,423,42,100,21,1,13,162,43,4,1,0,4,42,0,4,112,3,.383,.309
22,21,山口　航輝,(ロ),.235,115,474,421,46,99,21,0,14,162,57,0,0,0,5,43,6,5,122,7,.385,.310
23,22,中村　奨吾,(ロ),.220,137,584,508,61,112,23,0,11,168,48,3,1,13,4,52,2,7,89,20,.331,.299
