,順位,チーム,試合,勝利,敗北,引分,勝率,差,首位差,残試合,貯金,連勝連敗,得点,平均得点,失点,平均失点,得失点差,打率,本塁打,盗塁,防御率
0,1,広島,143,89,52,2,0.631,優勝,-,-23,37,○ 3,684,4.78,497,3.48,187,0.272,153,118,3.2
1,2,巨人,143,71,69,3,0.507,17.5,17.5,-23,2,● 3,519,3.63,543,3.8,-24,0.251,128,62,3.45
2,3,DeNA,143,69,71,3,0.493,2.0,19.5,-23,-2,● 2,572,4.0,588,4.11,-16,0.249,140,67,3.76
3,4,阪神,143,64,76,3,0.457,5.0,24.5,-23,-12,○ 7,506,3.54,546,3.82,-40,0.245,90,59,3.38
4,5,ヤクルト,143,64,78,1,0.451,1.0,25.5,-23,-14,● 1,594,4.15,694,4.85,-100,0.256,113,82,4.73
5,6,中日,143,58,82,3,0.414,5.0,30.5,-23,-24,● 6,500,3.5,573,4.01,-73,0.245,89,60,3.65
