,順位,チーム,試合,勝利,敗北,引分,勝率,差,首位差,残試合,貯金,連勝連敗,得点,平均得点,失点,平均失点,得失点差,打率,本塁打,盗塁,防御率
0,1,巨人,144,86,43,15,0.667,優勝,-,-24,43,○ 3,534,3.71,354,2.46,180,0.256,94,102,2.16
1,2,中日,144,75,53,16,0.586,10.5,10.5,-24,22,● 1,423,2.94,405,2.81,18,0.245,70,59,2.58
2,3,ヤクルト,144,68,65,11,0.511,9.5,20.0,-24,3,● 2,499,3.47,514,3.57,-15,0.26,90,63,3.35
3,4,広島,144,61,71,12,0.462,6.5,26.5,-24,-10,○ 4,427,2.97,454,3.15,-27,0.233,76,79,2.72
4,5,阪神,144,55,75,14,0.423,5.0,31.5,-24,-20,○ 1,411,2.85,438,3.04,-27,0.23600000000000002,58,65,2.65
5,6,DeNA,144,46,85,13,0.35100000000000003,9.5,41.0,-24,-39,● 5,422,2.93,571,3.97,-149,0.233,66,61,3.76
