,順位,チーム,試合,勝利,敗北,引分,勝率,差,首位差,残試合,貯金,連勝連敗,得点,平均得点,失点,平均失点,得失点差,打率,本塁打,盗塁,防御率
0,1,巨人,144,84,53,7,0.613,優勝,-,-24,31,○ 1,597,4.15,508,3.53,89,0.262,145,90,3.21
1,2,阪神,144,73,67,4,0.521,12.5,12.5,-24,6,● 1,531,3.69,488,3.39,43,0.255,82,81,3.07
2,3,広島,144,69,72,3,0.489,4.5,17.0,-24,-3,● 2,557,3.87,554,3.85,3,0.248,110,112,3.46
3,4,中日,144,64,77,3,0.45399999999999996,5.0,22.0,-24,-13,● 1,526,3.65,599,4.16,-73,0.245,111,57,3.81
4,5,DeNA,144,64,79,1,0.44799999999999995,1.0,23.0,-24,-15,○ 2,630,4.38,686,4.76,-56,0.262,132,54,4.5
5,6,ヤクルト,144,57,83,4,0.40700000000000003,5.5,28.5,-24,-26,● 1,577,4.01,682,4.74,-105,0.253,134,70,4.26
