,順位,チーム,試合,勝利,敗北,引分,勝率,差,首位差,残試合,貯金,連勝連敗,得点,平均得点,失点,平均失点,得失点差,打率,本塁打,盗塁,防御率
0,1,巨人,143,77,64,2,0.546,優勝,-,-23,13,● 1,663,4.64,573,4.01,90,0.257,183,83,3.77
1,2,DeNA,143,71,69,3,0.507,5.5,5.5,-23,2,● 2,596,4.17,611,4.27,-15,0.24600000000000002,163,40,3.93
2,3,阪神,143,69,68,6,0.504,0.5,6.0,-23,1,○ 6,538,3.76,566,3.96,-28,0.251,94,100,3.46
3,4,広島,143,70,70,3,0.5,0.5,6.5,-23,0,● 1,591,4.13,601,4.2,-10,0.254,140,81,3.68
4,5,中日,143,68,73,2,0.48200000000000004,2.5,9.0,-23,-5,● 2,563,3.94,544,3.8,19,0.263,90,63,3.72
5,6,ヤクルト,143,59,82,2,0.418,9.0,18.0,-23,-23,○ 1,656,4.59,739,5.17,-83,0.244,167,62,4.78
