,順位,チーム,試合,勝利,敗北,引分,勝率,差,首位差,残試合,貯金,連勝連敗,得点,平均得点,失点,平均失点,得失点差,打率,本塁打,盗塁,防御率
0,1,巨人,120,67,45,8,0.598,優勝,-,0,22,● 1,532,4.43,421,3.51,111,0.255,135,80,3.34
1,2,阪神,120,60,53,7,0.531,7.5,7.5,0,7,○ 1,494,4.12,460,3.83,34,0.24600000000000002,110,80,3.35
2,3,中日,120,60,55,5,0.522,1.0,8.5,0,5,○ 1,429,3.58,489,4.08,-60,0.252,70,33,3.84
3,4,DeNA,120,56,58,6,0.491,3.5,12.0,0,-2,○ 1,516,4.3,474,3.95,42,0.266,135,31,3.76
4,5,広島,120,52,56,12,0.48100000000000004,1.0,13.0,0,-4,● 1,523,4.36,529,4.41,-6,0.262,110,64,4.06
5,6,ヤクルト,120,41,69,10,0.373,12.0,25.0,0,-28,● 1,468,3.9,589,4.91,-121,0.242,114,74,4.61
