,順位,チーム,試合,勝利,敗北,引分,勝率,差,首位差,残試合,貯金,連勝連敗,得点,平均得点,失点,平均失点,得失点差,打率,本塁打,盗塁,防御率
0,1,楽天,144,82,59,3,0.5820000000000001,優勝,-,-24,23,● 1,628,4.36,537,3.73,91,0.267,97,62,3.51
1,2,西武,144,74,66,4,0.529,7.5,7.5,-24,8,○ 8,570,3.96,562,3.9,8,0.257,86,113,3.54
2,3,ロッテ,144,74,68,2,0.521,1.0,8.5,-24,6,● 3,572,3.97,584,4.06,-12,0.262,91,91,3.77
3,4,ソフトバンク,144,73,69,2,0.514,1.0,9.5,-24,4,○ 1,660,4.58,562,3.9,98,0.27399999999999997,125,87,3.56
4,5,オリックス,144,66,73,5,0.475,5.5,15.0,-24,-7,○ 1,513,3.56,529,3.67,-16,0.256,93,84,3.31
5,6,日本ハム,144,64,78,2,0.451,3.5,18.5,-24,-14,● 2,534,3.71,604,4.19,-70,0.256,105,120,3.74
