,順位,チーム,試合,勝利,敗北,引分,勝率,差,首位差,残試合,貯金,連勝連敗,得点,平均得点,失点,平均失点,得失点差,打率,本塁打,盗塁,防御率
0,1,ソフトバンク,120,73,42,5,0.635,優勝,-,0,31,○ 1,531,4.43,389,3.24,142,0.249,126,99,2.92
1,2,ロッテ,120,60,57,3,0.513,14.0,14.0,0,3,● 1,461,3.84,479,3.99,-18,0.235,90,87,3.81
2,3,西武,120,58,58,4,0.5,1.5,15.5,0,0,● 3,479,3.99,543,4.53,-64,0.23800000000000002,107,85,4.28
3,4,楽天,120,55,57,8,0.491,1.0,16.5,0,-2,○ 2,557,4.64,522,4.35,35,0.258,112,67,4.19
4,5,日本ハム,120,53,62,5,0.461,3.5,20.0,0,-9,○ 1,493,4.11,528,4.4,-35,0.249,89,80,4.02
5,6,オリックス,120,45,68,7,0.39799999999999996,7.0,27.0,0,-23,● 1,442,3.68,502,4.18,-60,0.247,90,95,3.97
