,順位,チーム,試合,勝利,敗北,引分,勝率,差,首位差,残試合,貯金,連勝連敗,得点,平均得点,失点,平均失点,得失点差,打率,本塁打,盗塁,防御率
0,1,西武,143,88,53,2,0.624,優勝,-,-23,35,● 1,792,5.54,653,4.57,139,0.273,196,132,4.24
1,2,ソフトバンク,143,82,60,1,0.5770000000000001,6.5,6.5,-23,22,○ 4,685,4.79,579,4.05,106,0.266,202,80,3.9
2,3,日本ハム,143,74,66,3,0.529,7.0,13.5,-23,8,○ 3,589,4.12,586,4.1,3,0.251,140,98,3.77
3,4,オリックス,143,65,73,5,0.47100000000000003,8.0,21.5,-23,-8,● 1,538,3.76,565,3.95,-27,0.244,108,97,3.69
4,5,ロッテ,143,59,81,3,0.42100000000000004,7.0,28.5,-23,-22,● 6,534,3.73,628,4.39,-94,0.247,78,124,4.04
5,6,楽天,143,58,82,3,0.414,1.0,29.5,-23,-24,○ 2,520,3.64,583,4.08,-63,0.24100000000000002,132,69,3.78
