,順位,チーム,試合,勝利,敗北,引分,勝率,差,首位差,残試合,貯金,連勝連敗,得点,平均得点,失点,平均失点,得失点差,打率,本塁打,盗塁,防御率
0,1,西武,143,80,62,1,0.563,優勝,-,-23,18,● 1,756,5.29,695,4.86,61,0.265,174,134,4.35
1,2,ソフトバンク,143,76,62,5,0.551,2.0,2.0,-23,14,● 2,582,4.07,564,3.94,18,0.251,183,113,3.63
2,3,楽天,143,71,68,4,0.511,5.5,7.5,-23,3,○ 2,614,4.29,578,4.04,36,0.251,141,48,3.74
3,4,ロッテ,143,69,70,4,0.496,2.0,9.5,-23,-1,● 1,642,4.49,611,4.27,31,0.249,158,75,3.9
4,5,日本ハム,143,65,73,5,0.47100000000000003,3.5,13.0,-23,-8,● 1,560,3.92,586,4.1,-26,0.251,93,48,3.76
5,6,オリックス,143,61,75,7,0.449,3.0,16.0,-23,-14,○ 2,544,3.8,637,4.45,-93,0.242,102,122,4.05
