,順位,チーム,試合,勝利,敗北,引分,勝率,差,首位差,残試合,貯金,連勝連敗,得点,平均得点,失点,平均失点,得失点差,打率,本塁打,盗塁,防御率
0,1,ソフトバンク,144,88,46,10,0.657,優 勝,-,-24,42,● 1,550,3.82,351,2.44,199,0.267,90,180,2.32
1,2,日本ハム,144,72,65,7,0.526,17.5,17.5,-24,7,● 3,482,3.35,418,2.9,64,0.251,86,88,2.68
2,3,西武,144,68,67,9,0.504,3.0,20.5,-24,1,○ 3,571,3.97,522,3.63,49,0.253,103,88,3.15
3,4,オリックス,144,69,68,7,0.504,-,20.5,-24,1,● 1,478,3.32,518,3.6,-40,0.248,76,49,3.33
4,5,楽天,144,66,71,7,0.48200000000000004,3.0,23.5,-24,-5,○ 2,432,3.0,464,3.22,-32,0.245,53,130,2.85
5,6,ロッテ,144,54,79,11,0.406,10.0,33.5,-24,-25,○ 1,432,3.0,533,3.7,-101,0.24100000000000002,46,101,3.4
