,順位,チーム,試合,勝利,敗北,引分,勝率,差,首位差,残試合,貯金,連勝連敗,得点,平均得点,失点,平均失点,得失点差,打率,本塁打,盗塁,防御率
0,1,日本ハム,144,74,59,11,0.556,優勝,-,-24,15,○ 1,510,3.54,450,3.13,60,0.256,90,82,2.89
1,2,西武,144,72,63,9,0.5329999999999999,3.0,3.0,-24,9,● 1,516,3.58,518,3.6,-2,0.251,78,94,3.24
2,3,ソフトバンク,144,67,65,12,0.508,3.5,6.5,-24,2,● 3,452,3.14,429,2.98,23,0.252,70,144,2.56
3,4,楽天,144,67,67,10,0.5,1.0,7.5,-24,0,○ 1,491,3.41,467,3.24,24,0.252,52,119,2.99
4,5,ロッテ,144,62,67,15,0.48100000000000004,2.5,10.0,-24,-5,● 2,499,3.47,502,3.49,-3,0.257,64,64,3.13
5,6,オリックス,144,57,77,10,0.425,7.5,17.5,-24,-20,○ 5,443,3.08,525,3.65,-82,0.24100000000000002,73,49,3.34
