,順位,チーム,試合,勝利,敗北,引分,勝率,差,首位差,残試合,貯金,連勝連敗,得点,平均得点,失点,平均失点,得失点差,打率,本塁打,盗塁,防御率
0,1,広島,143,82,59,2,0.5820000000000001,優勝,-,-23,23,● 2,721,5.04,651,4.55,70,0.262,175,95,4.12
1,2,ヤクルト,143,75,66,2,0.532,7.0,7.0,-23,9,● 1,658,4.6,665,4.65,-7,0.266,135,68,4.13
2,3,巨人,143,67,71,5,0.486,6.5,13.5,-23,-4,○ 2,625,4.37,575,4.02,50,0.257,152,61,3.79
3,4,DeNA,143,67,74,2,0.475,1.5,15.0,-23,-7,● 1,572,4.0,642,4.49,-70,0.25,181,71,4.18
4,5,中日,143,63,78,2,0.447,4.0,19.0,-23,-15,● 1,598,4.18,654,4.57,-56,0.265,97,61,4.36
5,6,阪神,143,62,79,2,0.44,1.0,20.0,-23,-17,○ 2,577,4.03,628,4.39,-51,0.253,85,77,4.03
