,順位,チーム,試合,勝利,敗北,引分,勝率,差,首位差,残試合,貯金,連勝連敗,得点,平均得点,失点,平均失点,得失点差,打率,本塁打,盗塁,防御率
0,1,中日,144,75,59,10,0.56,優 勝,-,-24,16,● 1,419,2.91,410,2.85,9,0.228,82,41,2.46
1,2,ヤクルト,144,70,59,15,0.5429999999999999,2.5,2.5,-24,11,○ 1,484,3.36,504,3.5,-20,0.244,85,43,3.36
2,3,巨人,144,71,62,11,0.534,1.0,3.5,-24,9,○ 6,471,3.27,417,2.9,54,0.243,108,106,2.61
3,4,阪神,144,68,70,6,0.493,5.5,9.0,-24,-2,○ 1,482,3.35,443,3.08,39,0.255,80,62,2.83
4,5,広島,144,60,76,8,0.441,7.0,16.0,-24,-16,● 2,439,3.05,496,3.44,-57,0.245,52,65,3.22
5,6,横浜,144,47,86,11,0.353,11.5,27.5,-24,-39,● 2,423,2.94,587,4.08,-164,0.239,78,31,3.87
