,順位,チーム,試合,勝利,敗北,引分,勝率,差,首位差,残試合,貯金,連勝連敗,得点,平均得点,失点,平均失点,得失点差,打率,本塁打,盗塁,防御率
0,1,ソフトバンク,143,90,49,4,0.647,優勝,-,-23,41,● 1,651,4.55,491,3.43,160,0.267,141,94,3.16
1,2,日本ハム,143,79,62,2,0.56,12.0,12.0,-23,17,● 4,615,4.3,581,4.06,34,0.258,106,134,3.62
2,3,ロッテ,143,73,69,1,0.514,6.5,18.5,-23,4,○ 4,561,3.92,563,3.94,-2,0.257,85,71,3.69
3,4,西武,143,69,69,5,0.5,2.0,20.5,-23,0,● 1,631,4.41,573,4.01,58,0.263,136,66,3.69
4,5,オリックス,143,61,80,2,0.433,9.5,30.0,-23,-19,○ 2,519,3.63,548,3.83,-29,0.249,94,88,3.59
5,6,楽天,143,57,83,3,0.40700000000000003,3.5,33.5,-23,-26,● 1,463,3.24,612,4.28,-149,0.24100000000000002,85,118,3.82
