,順位,チーム,試合,勝利,敗北,引分,勝率,差,首位差,残試合,貯金,連勝連敗,得点,平均得点,失点,平均失点,得失点差,打率,本塁打,盗塁,防御率
0,1,広島,143,88,51,4,0.633,優勝,-,-23,37,● 1,736,5.15,540,3.78,196,0.273,152,112,3.39
1,2,阪神,143,78,61,4,0.561,10.0,10.0,-23,17,○ 4,589,4.12,528,3.69,61,0.249,113,70,3.29
2,3,DeNA,143,73,65,5,0.529,4.5,14.5,-23,8,○ 3,597,4.17,598,4.18,-1,0.252,134,39,3.81
3,4,巨人,143,72,68,3,0.514,2.0,16.5,-23,4,○ 1,536,3.75,504,3.52,32,0.249,113,56,3.31
4,5,中日,143,59,79,5,0.428,12.0,28.5,-23,-20,● 4,487,3.41,623,4.36,-136,0.247,111,77,4.05
5,6,ヤクルト,143,45,96,2,0.319,15.5,44.0,-23,-51,● 2,473,3.31,653,4.57,-180,0.23399999999999999,95,50,4.21
