,順位,チーム,試合,勝利,敗北,引分,勝率,差,首位差,残試合,貯金,連勝連敗,得点,平均得点,失点,平均失点,得失点差,打率,本塁打,盗塁,防御率
0,1,ソフトバンク,144,78,60,6,0.565,優勝,-,-24,18,○ 1,607,4.22,522,3.63,85,0.28,95,124,3.25
1,2,オリックス,144,80,62,2,0.563,0.0,-,-24,18,○ 2,584,4.06,468,3.25,116,0.258,110,126,2.89
2,3,日本ハム,144,73,68,3,0.518,6.5,6.5,-24,5,○ 1,593,4.12,569,3.95,24,0.251,119,134,3.61
3,4,ロッテ,144,66,76,2,0.465,7.5,14.0,-24,-10,○ 3,556,3.86,642,4.46,-86,0.251,96,64,4.14
4,5,西武,144,63,77,4,0.45,2.0,16.0,-24,-14,○ 2,574,3.99,600,4.17,-26,0.248,125,74,3.77
5,6,楽天,144,64,80,0,0.444,1.0,17.0,-24,-16,● 7,549,3.81,604,4.19,-55,0.255,78,64,3.97
