,順位,チーム,試合,勝利,敗北,引分,勝率,差,首位差,残試合,貯金,連勝連敗,得点,平均得点,失点,平均失点,得失点差,打率,本塁打,盗塁,防御率
0,1,巨人,144,82,61,1,0.573,優勝,-,-24,21,○ 2,596,4.14,552,3.83,44,0.257,144,102,3.58
1,2,阪神,144,75,68,1,0.524,7.0,7.0,-24,7,○ 1,599,4.16,614,4.26,-15,0.264,94,55,3.88
2,3,広島,144,74,68,2,0.521,0.5,7.5,-24,6,● 2,649,4.51,610,4.24,39,0.272,153,96,3.79
3,4,中日,144,67,73,4,0.479,6.0,13.5,-24,-6,○ 4,570,3.96,590,4.1,-20,0.258,87,75,3.69
4,5,DeNA,144,67,75,2,0.47200000000000003,1.0,14.5,-24,-8,○ 1,568,3.94,624,4.33,-56,0.253,121,76,3.76
5,6,ヤクルト,144,60,81,3,0.426,6.5,21.0,-24,-21,● 1,667,4.63,717,4.98,-50,0.27899999999999997,139,62,4.62
