,順位,チーム,試合,勝利,敗北,引分,勝率,差,首位差,残試合,貯金,連勝連敗,得点,平均得点,失点,平均失点,得失点差,打率,本塁打,盗塁,防御率
0,1,ソフトバンク,143,94,49,0,0.657,優勝,-,-23,45,● 1,638,4.46,483,3.38,155,0.259,164,73,3.22
1,2,西武,143,79,61,3,0.564,13.5,13.5,-23,18,● 1,690,4.83,560,3.92,130,0.264,153,129,3.53
2,3,楽天,143,77,63,3,0.55,2.0,15.5,-23,14,○ 1,585,4.09,528,3.69,57,0.254,135,42,3.33
3,4,オリックス,143,63,79,1,0.444,15.0,30.5,-23,-16,● 6,539,3.77,598,4.18,-59,0.251,127,33,3.83
4,5,日本ハム,143,60,83,0,0.42,3.5,34.0,-23,-23,○ 4,509,3.56,596,4.17,-87,0.242,108,86,3.82
5,6,ロッテ,143,54,87,2,0.38299999999999995,5.0,39.0,-23,-33,● 1,479,3.35,647,4.52,-168,0.233,95,78,4.22
