,順位,チーム,試合,勝利,敗北,引分,勝率,差,首位差,残試合,貯金,連勝連敗,得点,平均得点,失点,平均失点,得失点差,打率,本塁打,盗塁,防御率
0,1,ヤクルト,143,76,65,2,0.539,優勝,-,-23,11,● 1,574,4.01,518,3.62,56,0.257,107,83,3.31
1,2,巨人,143,75,67,1,0.528,1.5,1.5,-23,8,○ 3,489,3.42,443,3.1,46,0.243,98,99,2.78
2,3,阪神,143,70,71,2,0.496,4.5,6.0,-23,-1,● 2,465,3.25,550,3.85,-85,0.247,78,48,3.47
3,4,広島,143,69,71,3,0.493,0.5,6.5,-23,-2,● 1,506,3.54,474,3.31,32,0.24600000000000002,105,80,2.92
4,5,中日,143,62,77,4,0.446,6.5,13.0,-23,-15,○ 1,473,3.31,504,3.52,-31,0.253,71,88,3.19
5,6,DeNA,143,62,80,1,0.43700000000000006,1.5,14.5,-23,-18,● 4,508,3.55,598,4.18,-90,0.249,112,57,3.8
