,date,team_away,team_home,R_away,R_home
0,2020-06-19,読売ジャイアンツ,阪神タイガース,3,2
1,2020-06-19,中日ドラゴンズ,東京ヤクルトスワローズ,9,7
2,2020-06-19,広島東洋カープ,横浜DeNAベイスターズ,5,1
3,2020-06-19,埼玉西武ライオンズ,北海道日本ハムファイターズ,3,0
4,2020-06-19,東北楽天ゴールデンイーグルス,オリックス・バファローズ,9,1
5,2020-06-19,福岡ソフトバンクホークス,千葉ロッテマリーンズ,2,1
6,2020-06-20,読売ジャイアンツ,阪神タイガース,11,1
7,2020-06-20,東京ヤクルトスワローズ,中日ドラゴンズ,6,2
8,2020-06-20,広島東洋カープ,横浜DeNAベイスターズ,10,5
9,2020-06-20,北海道日本ハムファイターズ,埼玉西武ライオンズ,2,1
10,2020-06-20,東北楽天ゴールデンイーグルス,オリックス・バファローズ,2,1
11,2020-06-20,千葉ロッテマリーンズ,福岡ソフトバンクホークス,3,2
12,2020-06-21,読売ジャイアンツ,阪神タイガース,7,1
13,2020-06-21,中日ドラゴンズ,東京ヤクルトスワローズ,3,0
14,2020-06-21,横浜DeNAベイスターズ,広島東洋カープ,2,1
15,2020-06-21,北海道日本ハムファイターズ,埼玉西武ライオンズ,12,2
16,2020-06-21,オリックス・バファローズ,東北楽天ゴールデンイーグルス,4,0
17,2020-06-21,千葉ロッテマリーンズ,福岡ソフトバンクホークス,5,1
18,2020-06-23,読売ジャイアンツ,広島東洋カープ,3,2
19,2020-06-23,阪神タイガース,東京ヤクルトスワローズ,4,1
20,2020-06-23,横浜DeNAベイスターズ,中日ドラゴンズ,3,0
21,2020-06-23,東北楽天ゴールデンイーグルス,北海道日本ハムファイターズ,4,0
22,2020-06-23,埼玉西武ライオンズ,福岡ソフトバンクホークス,11,3
23,2020-06-23,千葉ロッテマリーンズ,オリックス・バファローズ,6,5
24,2020-06-24,広島東洋カープ,読売ジャイアンツ,5,1
25,2020-06-24,東京ヤクルトスワローズ,阪神タイガース,6,1
26,2020-06-24,横浜DeNAベイスターズ,中日ドラゴンズ,3,2
27,2020-06-24,東北楽天ゴールデンイーグルス,北海道日本ハムファイターズ,5,2
28,2020-06-24,福岡ソフトバンクホークス,埼玉西武ライオンズ,9,6
29,2020-06-24,千葉ロッテマリーンズ,オリックス・バファローズ,6,4
30,2020-06-25,読売ジャイアンツ,広島東洋カープ,5,5
31,2020-06-25,東京ヤクルトスワローズ,阪神タイガース,3,1
32,2020-06-25,横浜DeNAベイスターズ,中日ドラゴンズ,10,2
33,2020-06-25,北海道日本ハムファイターズ,東北楽天ゴールデンイーグルス,8,5
34,2020-06-25,福岡ソフトバンクホークス,埼玉西武ライオンズ,4,2
35,2020-06-25,千葉ロッテマリーンズ,オリックス・バファローズ,5,0
36,2020-06-26,読売ジャイアンツ,東京ヤクルトスワローズ,6,5
37,2020-06-26,横浜DeNAベイスターズ,阪神タイガース,6,0
38,2020-06-26,広島東洋カープ,中日ドラゴンズ,4,1
39,2020-06-26,東北楽天ゴールデンイーグルス,北海道日本ハムファイターズ,7,1
40,2020-06-26,埼玉西武ライオンズ,福岡ソフトバンクホークス,7,4
41,2020-06-26,千葉ロッテマリーンズ,オリックス・バファローズ,6,5
42,2020-06-27,東京ヤクルトスワローズ,読売ジャイアンツ,9,6
43,2020-06-27,阪神タイガース,横浜DeNAベイスターズ,8,6
44,2020-06-27,中日ドラゴンズ,広島東洋カープ,6,1
45,2020-06-27,東北楽天ゴールデンイーグルス,北海道日本ハムファイターズ,18,4
46,2020-06-27,埼玉西武ライオンズ,福岡ソフトバンクホークス,8,7
47,2020-06-27,千葉ロッテマリーンズ,オリックス・バファローズ,2,1
48,2020-06-28,読売ジャイアンツ,東京ヤクルトスワローズ,12,0
49,2020-06-28,横浜DeNAベイスターズ,阪神タイガース,9,1
50,2020-06-28,広島東洋カープ,中日ドラゴンズ,10,3
51,2020-06-28,北海道日本ハムファイターズ,東北楽天ゴールデンイーグルス,6,4
52,2020-06-28,埼玉西武ライオンズ,福岡ソフトバンクホークス,4,3
53,2020-06-28,千葉ロッテマリーンズ,オリックス・バファローズ,6,5
54,2020-06-30,読売ジャイアンツ,横浜DeNAベイスターズ,5,2
55,2020-06-30,中日ドラゴンズ,阪神タイガース,5,0
56,2020-06-30,北海道日本ハムファイターズ,福岡ソフトバンクホークス,1,1
57,2020-06-30,東北楽天ゴールデンイーグルス,千葉ロッテマリーンズ,15,4
58,2020-06-30,埼玉西武ライオンズ,オリックス・バファローズ,3,2
59,2020-07-01,横浜DeNAベイスターズ,読売ジャイアンツ,5,3
60,2020-07-01,東京ヤクルトスワローズ,広島東洋カープ,4,3
61,2020-07-01,中日ドラゴンズ,阪神タイガース,6,3
62,2020-07-01,福岡ソフトバンクホークス,北海道日本ハムファイターズ,4,0
63,2020-07-01,東北楽天ゴールデンイーグルス,千葉ロッテマリーンズ,5,3
64,2020-07-01,オリックス・バファローズ,埼玉西武ライオンズ,6,0
65,2020-07-02,読売ジャイアンツ,横浜DeNAベイスターズ,5,3
66,2020-07-02,東京ヤクルトスワローズ,広島東洋カープ,9,5
67,2020-07-02,中日ドラゴンズ,阪神タイガース,4,2
68,2020-07-02,北海道日本ハムファイターズ,福岡ソフトバンクホークス,9,8
69,2020-07-02,千葉ロッテマリーンズ,東北楽天ゴールデンイーグルス,8,5
70,2020-07-02,埼玉西武ライオンズ,オリックス・バファローズ,9,5
71,2020-07-03,読売ジャイアンツ,中日ドラゴンズ,5,0
72,2020-07-03,横浜DeNAベイスターズ,東京ヤクルトスワローズ,5,4
73,2020-07-03,福岡ソフトバンクホークス,北海道日本ハムファイターズ,4,1
74,2020-07-03,東北楽天ゴールデンイーグルス,千葉ロッテマリーンズ,3,1
75,2020-07-03,埼玉西武ライオンズ,オリックス・バファローズ,4,4
76,2020-07-04,読売ジャイアンツ,中日ドラゴンズ,7,3
77,2020-07-04,東京ヤクルトスワローズ,横浜DeNAベイスターズ,10,8
78,2020-07-04,阪神タイガース,広島東洋カープ,9,3
79,2020-07-04,福岡ソフトバンクホークス,北海道日本ハムファイターズ,8,3
80,2020-07-04,東北楽天ゴールデンイーグルス,千葉ロッテマリーンズ,3,1
81,2020-07-04,オリックス・バファローズ,埼玉西武ライオンズ,4,3
82,2020-07-05,中日ドラゴンズ,読売ジャイアンツ,6,4
83,2020-07-05,横浜DeNAベイスターズ,東京ヤクルトスワローズ,8,1
84,2020-07-05,阪神タイガース,広島東洋カープ,8,3
85,2020-07-05,北海道日本ハムファイターズ,福岡ソフトバンクホークス,5,3
86,2020-07-05,東北楽天ゴールデンイーグルス,千葉ロッテマリーンズ,8,1
87,2020-07-05,オリックス・バファローズ,埼玉西武ライオンズ,8,5
88,2020-07-07,東京ヤクルトスワローズ,中日ドラゴンズ,2,1
89,2020-07-07,千葉ロッテマリーンズ,埼玉西武ライオンズ,8,6
90,2020-07-07,オリックス・バファローズ,北海道日本ハムファイターズ,7,1
91,2020-07-07,福岡ソフトバンクホークス,東北楽天ゴールデンイーグルス,4,3
92,2020-07-08,中日ドラゴンズ,東京ヤクルトスワローズ,5,5
93,2020-07-08,広島東洋カープ,横浜DeNAベイスターズ,6,3
94,2020-07-08,埼玉西武ライオンズ,千葉ロッテマリーンズ,3,0
95,2020-07-08,北海道日本ハムファイターズ,オリックス・バファローズ,10,4
96,2020-07-08,東北楽天ゴールデンイーグルス,福岡ソフトバンクホークス,12,8
97,2020-07-09,東京ヤクルトスワローズ,中日ドラゴンズ,8,6
98,2020-07-09,阪神タイガース,読売ジャイアンツ,2,1
99,2020-07-09,横浜DeNAベイスターズ,広島東洋カープ,5,1
100,2020-07-09,オリックス・バファローズ,北海道日本ハムファイターズ,4,4
101,2020-07-09,東北楽天ゴールデンイーグルス,福岡ソフトバンクホークス,9,1
102,2020-07-10,中日ドラゴンズ,広島東洋カープ,3,2
103,2020-07-10,阪神タイガース,横浜DeNAベイスターズ,3,2
104,2020-07-10,埼玉西武ライオンズ,千葉ロッテマリーンズ,7,6
105,2020-07-10,オリックス・バファローズ,北海道日本ハムファイターズ,4,3
106,2020-07-10,福岡ソフトバンクホークス,東北楽天ゴールデンイーグルス,2,1
107,2020-07-11,東京ヤクルトスワローズ,読売ジャイアンツ,9,4
108,2020-07-11,広島東洋カープ,中日ドラゴンズ,19,4
109,2020-07-11,横浜DeNAベイスターズ,阪神タイガース,4,2
110,2020-07-11,千葉ロッテマリーンズ,埼玉西武ライオンズ,6,4
111,2020-07-11,オリックス・バファローズ,北海道日本ハムファイターズ,5,3
112,2020-07-11,福岡ソフトバンクホークス,東北楽天ゴールデンイーグルス,8,4
113,2020-07-12,東京ヤクルトスワローズ,読売ジャイアンツ,3,2
114,2020-07-12,広島東洋カープ,中日ドラゴンズ,7,2
115,2020-07-12,阪神タイガース,横浜DeNAベイスターズ,2,1
116,2020-07-12,埼玉西武ライオンズ,千葉ロッテマリーンズ,8,5
117,2020-07-12,オリックス・バファローズ,北海道日本ハムファイターズ,2,1
118,2020-07-12,福岡ソフトバンクホークス,東北楽天ゴールデンイーグルス,6,1
119,2020-07-14,横浜DeNAベイスターズ,中日ドラゴンズ,5,3
120,2020-07-14,阪神タイガース,東京ヤクルトスワローズ,6,3
121,2020-07-14,読売ジャイアンツ,広島東洋カープ,7,2
122,2020-07-14,千葉ロッテマリーンズ,北海道日本ハムファイターズ,5,2
123,2020-07-14,福岡ソフトバンクホークス,オリックス・バファローズ,10,3
124,2020-07-15,中日ドラゴンズ,横浜DeNAベイスターズ,2,1
125,2020-07-15,東京ヤクルトスワローズ,阪神タイガース,9,5
126,2020-07-15,読売ジャイアンツ,広島東洋カープ,12,1
127,2020-07-15,北海道日本ハムファイターズ,千葉ロッテマリーンズ,6,4
128,2020-07-15,東北楽天ゴールデンイーグルス,埼玉西武ライオンズ,11,0
129,2020-07-15,福岡ソフトバンクホークス,オリックス・バファローズ,7,0
130,2020-07-16,中日ドラゴンズ,横浜DeNAベイスターズ,8,0
131,2020-07-16,阪神タイガース,東京ヤクルトスワローズ,6,4
132,2020-07-16,読売ジャイアンツ,広島東洋カープ,9,4
133,2020-07-16,千葉ロッテマリーンズ,北海道日本ハムファイターズ,4,3
134,2020-07-16,東北楽天ゴールデンイーグルス,埼玉西武ライオンズ,7,4
135,2020-07-16,オリックス・バファローズ,福岡ソフトバンクホークス,4,3
136,2020-07-17,読売ジャイアンツ,横浜DeNAベイスターズ,2,1
137,2020-07-17,阪神タイガース,中日ドラゴンズ,4,1
138,2020-07-17,広島東洋カープ,東京ヤクルトスワローズ,9,2
139,2020-07-17,北海道日本ハムファイターズ,千葉ロッテマリーンズ,7,4
140,2020-07-17,埼玉西武ライオンズ,東北楽天ゴールデンイーグルス,10,2
141,2020-07-17,福岡ソフトバンクホークス,オリックス・バファローズ,9,1
142,2020-07-18,読売ジャイアンツ,横浜DeNAベイスターズ,4,2
143,2020-07-18,阪神タイガース,中日ドラゴンズ,8,3
144,2020-07-18,東京ヤクルトスワローズ,広島東洋カープ,9,4
145,2020-07-18,千葉ロッテマリーンズ,北海道日本ハムファイターズ,5,2
146,2020-07-18,埼玉西武ライオンズ,東北楽天ゴールデンイーグルス,4,3
147,2020-07-18,福岡ソフトバンクホークス,オリックス・バファローズ,2,1
148,2020-07-19,読売ジャイアンツ,横浜DeNAベイスターズ,5,3
149,2020-07-19,阪神タイガース,中日ドラゴンズ,11,3
150,2020-07-19,広島東洋カープ,東京ヤクルトスワローズ,3,3
151,2020-07-19,北海道日本ハムファイターズ,千葉ロッテマリーンズ,9,2
152,2020-07-19,東北楽天ゴールデンイーグルス,埼玉西武ライオンズ,9,5
153,2020-07-19,福岡ソフトバンクホークス,オリックス・バファローズ,3,2
154,2020-07-21,東京ヤクルトスワローズ,横浜DeNAベイスターズ,6,4
155,2020-07-21,読売ジャイアンツ,中日ドラゴンズ,4,0
156,2020-07-21,阪神タイガース,広島東洋カープ,9,4
157,2020-07-21,オリックス・バファローズ,東北楽天ゴールデンイーグルス,10,3
158,2020-07-21,埼玉西武ライオンズ,千葉ロッテマリーンズ,8,3
159,2020-07-21,北海道日本ハムファイターズ,福岡ソフトバンクホークス,2,1
160,2020-07-22,横浜DeNAベイスターズ,東京ヤクルトスワローズ,5,5
161,2020-07-22,中日ドラゴンズ,読売ジャイアンツ,5,0
162,2020-07-22,阪神タイガース,広島東洋カープ,3,3
163,2020-07-22,オリックス・バファローズ,東北楽天ゴールデンイーグルス,11,7
164,2020-07-22,千葉ロッテマリーンズ,埼玉西武ライオンズ,2,1
165,2020-07-22,福岡ソフトバンクホークス,北海道日本ハムファイターズ,3,2
166,2020-07-23,横浜DeNAベイスターズ,東京ヤクルトスワローズ,6,0
167,2020-07-23,読売ジャイアンツ,中日ドラゴンズ,6,1
168,2020-07-23,広島東洋カープ,阪神タイガース,4,2
169,2020-07-23,東北楽天ゴールデンイーグルス,オリックス・バファローズ,2,2
170,2020-07-23,埼玉西武ライオンズ,千葉ロッテマリーンズ,3,2
171,2020-07-23,北海道日本ハムファイターズ,福岡ソフトバンクホークス,3,2
172,2020-07-24,東京ヤクルトスワローズ,読売ジャイアンツ,5,5
173,2020-07-24,横浜DeNAベイスターズ,広島東洋カープ,9,6
174,2020-07-24,阪神タイガース,中日ドラゴンズ,5,2
175,2020-07-24,オリックス・バファローズ,東北楽天ゴールデンイーグルス,6,2
176,2020-07-24,埼玉西武ライオンズ,千葉ロッテマリーンズ,3,2
177,2020-07-24,福岡ソフトバンクホークス,北海道日本ハムファイターズ,4,1
178,2020-07-25,東京ヤクルトスワローズ,読売ジャイアンツ,6,5
179,2020-07-25,横浜DeNAベイスターズ,広島東洋カープ,6,2
180,2020-07-25,中日ドラゴンズ,阪神タイガース,1,0
181,2020-07-25,オリックス・バファローズ,東北楽天ゴールデンイーグルス,6,3
182,2020-07-25,千葉ロッテマリーンズ,埼玉西武ライオンズ,5,0
183,2020-07-25,北海道日本ハムファイターズ,福岡ソフトバンクホークス,9,7
184,2020-07-26,読売ジャイアンツ,東京ヤクルトスワローズ,9,4
185,2020-07-26,広島東洋カープ,横浜DeNAベイスターズ,10,6
186,2020-07-26,阪神タイガース,中日ドラゴンズ,9,3
187,2020-07-26,東北楽天ゴールデンイーグルス,オリックス・バファローズ,5,4
188,2020-07-26,埼玉西武ライオンズ,千葉ロッテマリーンズ,4,2
189,2020-07-26,福岡ソフトバンクホークス,北海道日本ハムファイターズ,6,1
190,2020-07-28,読売ジャイアンツ,横浜DeNAベイスターズ,4,2
191,2020-07-28,阪神タイガース,東京ヤクルトスワローズ,20,5
192,2020-07-28,中日ドラゴンズ,広島東洋カープ,3,2
193,2020-07-28,北海道日本ハムファイターズ,オリックス・バファローズ,5,1
194,2020-07-28,千葉ロッテマリーンズ,東北楽天ゴールデンイーグルス,13,12
195,2020-07-28,福岡ソフトバンクホークス,埼玉西武ライオンズ,9,4
196,2020-07-29,横浜DeNAベイスターズ,読売ジャイアンツ,3,2
197,2020-07-29,東京ヤクルトスワローズ,阪神タイガース,3,1
198,2020-07-29,広島東洋カープ,中日ドラゴンズ,2,0
199,2020-07-29,北海道日本ハムファイターズ,オリックス・バファローズ,6,2
200,2020-07-29,東北楽天ゴールデンイーグルス,千葉ロッテマリーンズ,5,1
201,2020-07-29,福岡ソフトバンクホークス,埼玉西武ライオンズ,4,2
202,2020-07-30,横浜DeNAベイスターズ,読売ジャイアンツ,4,2
203,2020-07-30,東京ヤクルトスワローズ,阪神タイガース,6,0
204,2020-07-30,広島東洋カープ,中日ドラゴンズ,4,4
205,2020-07-30,北海道日本ハムファイターズ,オリックス・バファローズ,7,3
206,2020-07-30,東北楽天ゴールデンイーグルス,千葉ロッテマリーンズ,4,3
207,2020-07-30,埼玉西武ライオンズ,福岡ソフトバンクホークス,6,0
208,2020-07-31,読売ジャイアンツ,広島東洋カープ,2,1
209,2020-07-31,中日ドラゴンズ,東京ヤクルトスワローズ,5,3
210,2020-07-31,阪神タイガース,横浜DeNAベイスターズ,3,3
211,2020-07-31,オリックス・バファローズ,北海道日本ハムファイターズ,7,2
212,2020-07-31,千葉ロッテマリーンズ,東北楽天ゴールデンイーグルス,5,4
213,2020-07-31,福岡ソフトバンクホークス,埼玉西武ライオンズ,5,4
214,2020-08-01,読売ジャイアンツ,広島東洋カープ,11,3
215,2020-08-01,中日ドラゴンズ,東京ヤクルトスワローズ,3,1
216,2020-08-01,横浜DeNAベイスターズ,阪神タイガース,7,3
217,2020-08-01,北海道日本ハムファイターズ,オリックス・バファローズ,3,1
218,2020-08-01,東北楽天ゴールデンイーグルス,千葉ロッテマリーンズ,8,0
219,2020-08-01,福岡ソフトバンクホークス,埼玉西武ライオンズ,4,0
220,2020-08-02,広島東洋カープ,読売ジャイアンツ,9,2
221,2020-08-02,中日ドラゴンズ,東京ヤクルトスワローズ,0,0
222,2020-08-02,阪神タイガース,横浜DeNAベイスターズ,3,1
223,2020-08-02,千葉ロッテマリーンズ,東北楽天ゴールデンイーグルス,7,6
224,2020-08-04,広島東洋カープ,東京ヤクルトスワローズ,6,3
225,2020-08-04,横浜DeNAベイスターズ,中日ドラゴンズ,3,0
226,2020-08-04,読売ジャイアンツ,阪神タイガース,7,2
227,2020-08-04,北海道日本ハムファイターズ,埼玉西武ライオンズ,11,4
228,2020-08-04,東北楽天ゴールデンイーグルス,福岡ソフトバンクホークス,7,6
229,2020-08-04,オリックス・バファローズ,千葉ロッテマリーンズ,5,5
230,2020-08-05,広島東洋カープ,東京ヤクルトスワローズ,4,1
231,2020-08-05,横浜DeNAベイスターズ,中日ドラゴンズ,8,2
232,2020-08-05,読売ジャイアンツ,阪神タイガース,4,1
233,2020-08-05,埼玉西武ライオンズ,北海道日本ハムファイターズ,7,2
234,2020-08-05,東北楽天ゴールデンイーグルス,福岡ソフトバンクホークス,6,0
235,2020-08-05,千葉ロッテマリーンズ,オリックス・バファローズ,12,1
236,2020-08-06,東京ヤクルトスワローズ,広島東洋カープ,9,5
237,2020-08-06,横浜DeNAベイスターズ,中日ドラゴンズ,3,0
238,2020-08-06,阪神タイガース,読売ジャイアンツ,11,0
239,2020-08-06,北海道日本ハムファイターズ,埼玉西武ライオンズ,5,3
240,2020-08-06,福岡ソフトバンクホークス,東北楽天ゴールデンイーグルス,3,1
241,2020-08-06,オリックス・バファローズ,千葉ロッテマリーンズ,3,1
242,2020-08-07,東京ヤクルトスワローズ,横浜DeNAベイスターズ,8,2
243,2020-08-07,中日ドラゴンズ,読売ジャイアンツ,7,1
244,2020-08-07,広島東洋カープ,阪神タイガース,11,6
245,2020-08-07,北海道日本ハムファイターズ,埼玉西武ライオンズ,3,2
246,2020-08-07,東北楽天ゴールデンイーグルス,福岡ソフトバンクホークス,7,4
247,2020-08-07,千葉ロッテマリーンズ,オリックス・バファローズ,6,3
248,2020-08-08,横浜DeNAベイスターズ,東京ヤクルトスワローズ,5,4
249,2020-08-08,中日ドラゴンズ,読売ジャイアンツ,3,1
250,2020-08-08,広島東洋カープ,阪神タイガース,2,1
251,2020-08-08,北海道日本ハムファイターズ,埼玉西武ライオンズ,7,6
252,2020-08-08,東北楽天ゴールデンイーグルス,福岡ソフトバンクホークス,4,2
253,2020-08-08,千葉ロッテマリーンズ,オリックス・バファローズ,9,3
254,2020-08-09,横浜DeNAベイスターズ,東京ヤクルトスワローズ,4,0
255,2020-08-09,中日ドラゴンズ,読売ジャイアンツ,2,2
256,2020-08-09,阪神タイガース,広島東洋カープ,5,1
257,2020-08-09,北海道日本ハムファイターズ,埼玉西武ライオンズ,2,1
258,2020-08-09,福岡ソフトバンクホークス,東北楽天ゴールデンイーグルス,5,0
259,2020-08-09,千葉ロッテマリーンズ,オリックス・バファローズ,4,0
260,2020-08-10,横浜DeNAベイスターズ,阪神タイガース,6,4
261,2020-08-10,広島東洋カープ,中日ドラゴンズ,6,1
262,2020-08-11,阪神タイガース,横浜DeNAベイスターズ,9,2
263,2020-08-11,中日ドラゴンズ,広島東洋カープ,8,1
264,2020-08-11,東北楽天ゴールデンイーグルス,埼玉西武ライオンズ,7,5
265,2020-08-11,千葉ロッテマリーンズ,北海道日本ハムファイターズ,3,1
266,2020-08-11,福岡ソフトバンクホークス,オリックス・バファローズ,8,7
267,2020-08-12,読売ジャイアンツ,東京ヤクルトスワローズ,8,1
268,2020-08-12,阪神タイガース,横浜DeNAベイスターズ,7,6
