,date,team_away,team_home,R_away,R_home
0,2021-03-26,読売ジャイアンツ,横浜DeNAベイスターズ,8,7
1,2021-03-26,阪神タイガース,東京ヤクルトスワローズ,4,3
2,2021-03-26,中日ドラゴンズ,広島東洋カープ,7,6
3,2021-03-26,東北楽天ゴールデンイーグルス,北海道日本ハムファイターズ,8,2
4,2021-03-26,埼玉西武ライオンズ,オリックス・バファローズ,4,3
5,2021-03-26,福岡ソフトバンクホークス,千葉ロッテマリーンズ,8,2
6,2021-03-27,読売ジャイアンツ,横浜DeNAベイスターズ,10,5
7,2021-03-27,阪神タイガース,東京ヤクルトスワローズ,9,5
8,2021-03-27,広島東洋カープ,中日ドラゴンズ,4,1
9,2021-03-27,北海道日本ハムファイターズ,東北楽天ゴールデンイーグルス,9,4
10,2021-03-27,オリックス・バファローズ,埼玉西武ライオンズ,3,2
11,2021-03-27,福岡ソフトバンクホークス,千葉ロッテマリーンズ,3,2
12,2021-03-28,読売ジャイアンツ,横浜DeNAベイスターズ,1,1
13,2021-03-28,阪神タイガース,東京ヤクルトスワローズ,8,2
14,2021-03-28,広島東洋カープ,中日ドラゴンズ,0,0
15,2021-03-28,東北楽天ゴールデンイーグルス,北海道日本ハムファイターズ,5,0
16,2021-03-28,埼玉西武ライオンズ,オリックス・バファローズ,5,1
17,2021-03-28,福岡ソフトバンクホークス,千葉ロッテマリーンズ,6,5
18,2021-03-30,東京ヤクルトスワローズ,横浜DeNAベイスターズ,5,4
19,2021-03-30,中日ドラゴンズ,読売ジャイアンツ,3,3
20,2021-03-30,広島東洋カープ,阪神タイガース,1,0
21,2021-03-30,埼玉西武ライオンズ,北海道日本ハムファイターズ,11,4
22,2021-03-30,東北楽天ゴールデンイーグルス,千葉ロッテマリーンズ,5,0
23,2021-03-30,福岡ソフトバンクホークス,オリックス・バファローズ,3,1
24,2021-03-31,東京ヤクルトスワローズ,横浜DeNAベイスターズ,5,3
25,2021-03-31,中日ドラゴンズ,読売ジャイアンツ,5,3
26,2021-03-31,広島東洋カープ,阪神タイガース,4,2
27,2021-03-31,北海道日本ハムファイターズ,埼玉西武ライオンズ,1,1
28,2021-03-31,東北楽天ゴールデンイーグルス,千葉ロッテマリーンズ,2,1
29,2021-03-31,オリックス・バファローズ,福岡ソフトバンクホークス,7,2
30,2021-04-01,横浜DeNAベイスターズ,東京ヤクルトスワローズ,11,11
31,2021-04-01,読売ジャイアンツ,中日ドラゴンズ,3,1
32,2021-04-01,阪神タイガース,広島東洋カープ,6,3
33,2021-04-01,千葉ロッテマリーンズ,東北楽天ゴールデンイーグルス,16,5
