,date,team_away,team_home,R_away,R_home
84,2022-04-12,千葉ロッテマリーンズ,福岡ソフトバンクホークス,3,0
85,2022-04-13,読売ジャイアンツ,横浜DeNAベイスターズ,4,3
86,2022-04-13,広島東洋カープ,東京ヤクルトスワローズ,5,1
87,2022-04-13,中日ドラゴンズ,阪神タイガース,1,0
88,2022-04-13,埼玉西武ライオンズ,北海道日本ハムファイターズ,4,3
89,2022-04-14,中日ドラゴンズ,阪神タイガース,4,1
90,2022-04-14,福岡ソフトバンクホークス,千葉ロッテマリーンズ,4,0
91,2022-04-15,東京ヤクルトスワローズ,横浜DeNAベイスターズ,3,2
92,2022-04-15,阪神タイガース,読売ジャイアンツ,4,1
93,2022-04-15,埼玉西武ライオンズ,オリックス・バファローズ,6,1
94,2022-04-16,横浜DeNAベイスターズ,東京ヤクルトスワローズ,6,0
95,2022-04-16,阪神タイガース,読売ジャイアンツ,2,1
96,2022-04-16,広島東洋カープ,中日ドラゴンズ,3,2
97,2022-04-16,北海道日本ハムファイターズ,千葉ロッテマリーンズ,11,4
98,2022-04-16,オリックス・バファローズ,埼玉西武ライオンズ,3,0
99,2022-04-16,東北楽天ゴールデンイーグルス,福岡ソフトバンクホークス,6,5
100,2022-04-17,東京ヤクルトスワローズ,横浜DeNAベイスターズ,5,4
101,2022-04-17,読売ジャイアンツ,阪神タイガース,3,1
102,2022-04-17,中日ドラゴンズ,広島東洋カープ,10,4
103,2022-04-17,北海道日本ハムファイターズ,千葉ロッテマリーンズ,1,0
104,2022-04-17,オリックス・バファローズ,埼玉西武ライオンズ,4,3
105,2022-04-17,東北楽天ゴールデンイーグルス,福岡ソフトバンクホークス,14,4
106,2022-04-19,読売ジャイアンツ,広島東洋カープ,3,1
107,2022-04-19,横浜DeNAベイスターズ,阪神タイガース,5,4
108,2022-04-19,東京ヤクルトスワローズ,中日ドラゴンズ,12,4
109,2022-04-19,北海道日本ハムファイターズ,東北楽天ゴールデンイーグルス,2,0
110,2022-04-19,埼玉西武ライオンズ,千葉ロッテマリーンズ,4,0
111,2022-04-19,福岡ソフトバンクホークス,オリックス・バファローズ,3,0
112,2022-04-20,読売ジャイアンツ,広島東洋カープ,5,3
113,2022-04-20,横浜DeNAベイスターズ,阪神タイガース,1,0
114,2022-04-20,中日ドラゴンズ,東京ヤクルトスワローズ,4,1
115,2022-04-20,東北楽天ゴールデンイーグルス,北海道日本ハムファイターズ,4,2
116,2022-04-20,埼玉西武ライオンズ,千葉ロッテマリーンズ,3,0
117,2022-04-20,オリックス・バファローズ,福岡ソフトバンクホークス,3,2
118,2022-04-21,読売ジャイアンツ,広島東洋カープ,8,4
119,2022-04-21,横浜DeNAベイスターズ,阪神タイガース,7,5
120,2022-04-21,東北楽天ゴールデンイーグルス,北海道日本ハムファイターズ,8,5
121,2022-04-21,オリックス・バファローズ,福岡ソフトバンクホークス,3,2
122,2022-04-22,阪神タイガース,東京ヤクルトスワローズ,6,0
123,2022-04-22,読売ジャイアンツ,中日ドラゴンズ,7,2
124,2022-04-22,広島東洋カープ,横浜DeNAベイスターズ,6,1
125,2022-04-22,北海道日本ハムファイターズ,福岡ソフトバンクホークス,12,5
126,2022-04-22,埼玉西武ライオンズ,東北楽天ゴールデンイーグルス,3,0
127,2022-04-22,千葉ロッテマリーンズ,オリックス・バファローズ,4,0
128,2022-04-23,東京ヤクルトスワローズ,阪神タイガース,1,0
129,2022-04-23,読売ジャイアンツ,中日ドラゴンズ,3,0
130,2022-04-23,広島東洋カープ,横浜DeNAベイスターズ,6,0
131,2022-04-23,福岡ソフトバンクホークス,北海道日本ハムファイターズ,9,3
132,2022-04-23,東北楽天ゴールデンイーグルス,埼玉西武ライオンズ,7,3
133,2022-04-23,オリックス・バファローズ,千葉ロッテマリーンズ,3,2
134,2022-04-24,阪神タイガース,東京ヤクルトスワローズ,11,3
135,2022-04-24,中日ドラゴンズ,読売ジャイアンツ,7,6
136,2022-04-24,広島東洋カープ,横浜DeNAベイスターズ,5,4
137,2022-04-24,福岡ソフトバンクホークス,北海道日本ハムファイターズ,11,4
138,2022-04-24,埼玉西武ライオンズ,東北楽天ゴールデンイーグルス,6,3
139,2022-04-24,千葉ロッテマリーンズ,オリックス・バファローズ,6,3
140,2022-04-26,横浜DeNAベイスターズ,読売ジャイアンツ,6,4
141,2022-04-26,オリックス・バファローズ,北海道日本ハムファイターズ,3,2
142,2022-04-26,東北楽天ゴールデンイーグルス,千葉ロッテマリーンズ,3,2
143,2022-04-26,福岡ソフトバンクホークス,埼玉西武ライオンズ,3,0
144,2022-04-27,読売ジャイアンツ,横浜DeNAベイスターズ,8,2
145,2022-04-27,阪神タイガース,中日ドラゴンズ,3,1
146,2022-04-27,東京ヤクルトスワローズ,広島東洋カープ,8,2
147,2022-04-27,オリックス・バファローズ,北海道日本ハムファイターズ,4,2
148,2022-04-27,千葉ロッテマリーンズ,東北楽天ゴールデンイーグルス,3,3
149,2022-04-27,埼玉西武ライオンズ,福岡ソフトバンクホークス,8,2
150,2022-04-28,読売ジャイアンツ,横浜DeNAベイスターズ,7,0
151,2022-04-28,阪神タイガース,中日ドラゴンズ,3,2
152,2022-04-28,東京ヤクルトスワローズ,広島東洋カープ,9,5
153,2022-04-28,北海道日本ハムファイターズ,オリックス・バファローズ,6,2
154,2022-04-28,東北楽天ゴールデンイーグルス,千葉ロッテマリーンズ,2,1
155,2022-04-28,埼玉西武ライオンズ,福岡ソフトバンクホークス,4,2
156,2022-04-29,阪神タイガース,読売ジャイアンツ,3,2
157,2022-04-29,広島東洋カープ,中日ドラゴンズ,1,0
158,2022-04-29,オリックス・バファローズ,埼玉西武ライオンズ,1,0
159,2022-04-30,阪神タイガース,読売ジャイアンツ,10,3
160,2022-04-30,東京ヤクルトスワローズ,横浜DeNAベイスターズ,2,0
161,2022-04-30,中日ドラゴンズ,広島東洋カープ,4,2
162,2022-04-30,東北楽天ゴールデンイーグルス,福岡ソフトバンクホークス,7,6
163,2022-04-30,千葉ロッテマリーンズ,北海道日本ハムファイターズ,7,3
