,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,西鉄ライオンズ,140,90,47,3,,0.657,- -
1,南海ホークス,140,91,49,0,,0.65,0.5
2,毎日オリオンズ,140,79,57,4,,0.581,10.5
3,近鉄パールス,140,74,63,3,,0.54,16.0
4,阪急ブレーブス,140,66,70,4,,0.485,23.5
5,高橋ユニオンズ,140,53,84,3,,0.387,37.0
6,東映フライヤーズ,140,52,86,2,,0.377,38.5
7,大映スターズ,140,43,92,5,,0.319,46.0
