,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,中日ドラゴンズ,130,86,40,4,,0.683,- -
1,読売ジャイアンツ,130,82,47,1,,0.636,5.5
2,大阪タイガース,130,71,57,2,,0.555,16.0
3,広島カープ,130,56,69,5,,0.448,29.5
4,国鉄スワローズ,130,55,73,2,,0.43,32.0
5,大洋松竹ロビンス,130,32,96,2,,0.25,55.0
