,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,順位 前 後 期 期
0,日本ハム・ファイターズ,130,68,54,8,,0.557,4 / 1
1,阪急ブレーブス,130,68,58,4,,0.54,3 / 2
2,ロッテ・オリオンズ,130,63,57,10,,0.525,1 / 3
3,西武ライオンズ,130,61,61,8,,0.5,2 / 5
4,南海ホークス,130,53,65,12,,0.449,5 / 6
5,近鉄バファローズ,130,54,72,4,,0.429,6 / 4
