,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,南海ホークス,121,76,44,1,,0.633,- -
1,毎日オリオンズ,120,75,45,0,,0.625,1.0
2,西鉄ライオンズ,120,67,52,1,,0.563,8.5
3,大映スターズ,121,55,65,1,,0.4583,21.0
4,阪急ブレーブス,108,49,58,1,,0.4579,20.5
5,東急フライヤーズ,108,49,59,0,,0.454,21.0
6,近鉄パールス,108,30,78,0,,0.278,40.0
