,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,毎日大映オリオンズ,133,82,48,3,,0.631,- -
1,南海ホークス,136,78,52,6,,0.6,4.0
2,西鉄ライオンズ,136,70,60,6,,0.538,12.0
3,阪急ブレーブス,136,65,65,6,,0.5,17.0
4,東映フライヤーズ,132,52,78,2,,0.4,30.0
5,近鉄バファロー,131,43,87,1,,0.331,39.0
