,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,近鉄バファローズ,130,71,54,5,,0.568,- -
1,オリックス・ブレーブス,130,72,55,3,,0.567,0.0
2,西武ライオンズ,130,69,53,8,,0.566,0.5
3,福岡ダイエーホークス,130,59,64,7,,0.48,11.0
4,日本ハム・ファイターズ,130,54,73,3,,0.425,18.0
5,ロッテ・オリオンズ,130,48,74,8,,0.393,21.5
