,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,読売ジャイアンツ,134,77,53,4,,0.592,- -
1,阪神タイガース,133,72,58,3,,0.554,5.0
2,広島東洋カープ,134,68,62,4,,0.523,9.0
3,サンケイアトムズ,134,64,66,4,,0.492,13.0
4,大洋ホエールズ,133,59,71,3,,0.454,18.0
5,中日ドラゴンズ,134,50,80,4,,0.385,27.0
