,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,南海ホークス,104,72,24,8,,0.75,- -
1,西鉄ライオンズ,105,53,42,10,,0.558,18.5
2,毎日オリオンズ,110,54,51,5,,0.514,22.5
3,大映スターズ,101,41,52,8,,0.441,29.5
4,阪急ブレーブス,96,37,51,8,,0.42,31.0
5,東急フライヤーズ,102,38,56,8,,0.404,33.0
6,近鉄パールス,98,37,56,5,,0.398,33.5
