,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,福岡ソフトバンクホークス,143,90,49,4,,0.647,- -
1,北海道日本ハムファイターズ,143,79,62,2,,0.56,12.0
2,千葉ロッテマリーンズ,143,73,69,1,,0.514,18.5
3,埼玉西武ライオンズ,143,69,69,5,,0.5,20.5
4,オリックス・バファローズ,143,61,80,2,,0.433,30.0
5,東北楽天ゴールデンイーグルス,143,57,83,3,,0.407,33.5
