,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,南海ホークス,134,88,42,4,,0.677,- -
1,毎日大映オリオンズ,136,82,48,6,,0.631,6.0
2,東映フライヤーズ,135,67,63,5,,0.515,21.0
3,西鉄ライオンズ,144,66,64,14,,0.508,22.0
4,阪急ブレーブス,134,48,82,4,,0.369,40.0
5,近鉄バファロー,133,39,91,3,,0.3,49.0
