,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,福岡ソフトバンクホークス,144,76,63,5,,0.547,- -
1,埼玉西武ライオンズ,144,78,65,1,,0.545,0.0
2,千葉ロッテマリーンズ,144,75,67,2,,0.528,2.5
3,北海道日本ハムファイターズ,144,74,67,3,,0.525,3.0
4,オリックス・バファローズ,144,69,71,4,,0.493,7.5
5,東北楽天ゴールデンイーグルス,144,62,79,3,,0.44,15.0
