,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,阪急ブレーブス,130,80,39,11,,0.672,- -
1,ロッテ・オリオンズ,130,80,46,4,,0.635,3.5
2,近鉄バファローズ,130,65,60,5,,0.52,18.0
3,南海ホークス,130,61,65,4,,0.484,22.5
4,東映フライヤーズ,130,44,74,12,,0.373,35.5
5,西鉄ライオンズ,130,38,84,8,,0.311,43.5
