,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,ヤクルトスワローズ,130,82,48,0,,0.631,- -
1,広島東洋カープ,131,74,56,1,,0.569,8.0
2,読売ジャイアンツ,131,72,58,1,,0.554,10.0
3,横浜ベイスターズ,130,66,64,0,,0.508,16.0
4,中日ドラゴンズ,130,50,80,0,,0.385,32.0
5,阪神タイガース,130,46,84,0,,0.354,36.0
