,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,オリックス・バファローズ,143,70,55,18,,0.56,- -
1,千葉ロッテマリーンズ,143,67,57,19,,0.54,2.5
2,東北楽天ゴールデンイーグルス,143,66,62,15,,0.516,5.5
3,福岡ソフトバンクホークス,143,60,62,21,,0.492,8.5
4,北海道日本ハムファイターズ,143,55,68,20,,0.447,14.0
5,埼玉西武ライオンズ,143,55,70,18,,0.44,15.0
