,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,読売ジャイアンツ,114,79,29,6,,0.731,- -
1,名古屋ドラゴンズ,113,62,48,3,,0.564,18.0
2,大阪タイガース,116,61,52,3,,0.54,20.5
3,松竹ロビンス,115,53,57,5,,0.482,27.0
4,国鉄スワローズ,107,46,59,2,,0.438,31.5
5,大洋ホエールズ,108,40,64,4,,0.385,37.0
6,広島カープ,99,32,64,3,,0.333,41.0
