,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,オリックス・バファローズ,143,86,53,4,,0.619,- -
1,千葉ロッテマリーンズ,143,70,68,5,,0.5072,15.5
2,福岡ソフトバンクホークス,143,71,69,3,,0.5071,15.5
3,東北楽天ゴールデンイーグルス,143,70,71,2,,0.496,17.0
4,埼玉西武ライオンズ,143,65,77,1,,0.458,22.5
5,北海道日本ハムファイターズ,143,60,82,1,,0.423,27.5
