,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,順位 前 後 期 期
0,阪急ブレーブス,130,79,45,6,,0.637,1 / 1
1,南海ホークス,130,71,56,3,,0.559,2 / 2
2,ロッテ・オリオンズ,130,63,56,11,,0.529,3 / 3
3,近鉄バファローズ,130,57,66,7,,0.463,5 / 4
4,日本ハム・ファイターズ,130,52,67,11,,0.437,4 / 5
5,太平洋クラブ・ライオンズ,130,44,76,10,,0.367,6 / 6
