,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,北海道日本ハムファイターズ,144,74,59,11,,0.556,- -
1,埼玉西武ライオンズ,144,72,63,9,,0.533,3.0
2,福岡ソフトバンクホークス,144,67,65,12,,0.508,6.5
3,東北楽天ゴールデンイーグルス,144,67,67,10,,0.5,7.5
4,千葉ロッテマリーンズ,144,62,67,15,,0.481,10.0
5,オリックス・バファローズ,144,57,77,10,,0.425,17.5
