,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,埼玉西武ライオンズ,144,76,64,4,,0.543,- -
1,オリックス・バファローズ,144,75,68,1,,0.524,2.5
2,北海道日本ハムファイターズ,144,73,69,2,,0.514,4.0
3,千葉ロッテマリーンズ,144,73,70,1,,0.51,4.5
4,東北楽天ゴールデンイーグルス,144,65,76,3,,0.461,11.5
5,福岡ソフトバンクホークス,144,64,77,3,,0.454,12.5
