,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,南海ホークス,140,88,49,3,,0.642,- -
1,東映フライヤーズ,140,76,61,3,,0.555,12.0
2,西鉄ライオンズ,140,72,64,4,,0.529,15.5
3,阪急ブレーブス,140,67,71,2,,0.486,21.5
4,東京オリオンズ,140,62,74,4,,0.456,25.5
5,近鉄バファローズ,140,46,92,2,,0.333,42.5
