,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,読売ジャイアンツ,130,66,60,4,,0.524,- -
1,阪神タイガース,130,64,59,7,,0.52,0.5
2,中日ドラゴンズ,130,64,61,5,,0.512,1.5
3,ヤクルトアトムズ,130,62,65,3,,0.488,4.5
4,大洋ホエールズ,130,60,64,6,,0.484,5.0
5,広島東洋カープ,130,60,67,3,,0.472,6.5
