,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,東映フライヤーズ,133,78,52,3,,0.6,- -
1,南海ホークス,133,73,57,3,,0.562,5.0
2,西鉄ライオンズ,136,62,68,6,,0.477,16.0
3,毎日大映オリオンズ,132,60,70,2,,0.462,18.0
4,阪急ブレーブス,131,60,70,1,,0.462,18.0
5,近鉄バファローズ,131,57,73,1,,0.438,21.0
