,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,中日ドラゴンズ,138,79,56,3,,0.585,- -
1,ヤクルトスワローズ,138,72,64,2,,0.529,7.5
2,読売ジャイアンツ,138,71,64,3,,0.526,8.0
3,阪神タイガース,138,66,70,2,,0.485,13.5
4,広島東洋カープ,138,60,77,1,,0.438,20.0
5,横浜ベイスターズ,138,59,76,3,,0.437,20.0
