,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,西武ライオンズ,130,81,45,4,,0.643,- -
1,オリックス・ブレーブス,130,69,57,4,,0.548,12.0
2,近鉄バファローズ,130,67,60,3,,0.528,14.5
3,日本ハム・ファイターズ,130,66,63,1,,0.512,16.5
4,ロッテ・オリオンズ,130,57,71,2,,0.445,25.0
5,福岡ダイエーホークス,130,41,85,4,,0.325,40.0
