,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,読売ジャイアンツ,130,71,53,6,,0.569,- -
1,中日ドラゴンズ,130,72,56,2,,0.562,1.0
2,国鉄スワローズ,130,67,60,3,,0.527,5.5
3,阪神タイガース,130,60,67,3,,0.473,12.5
4,広島カープ,130,58,67,5,,0.465,13.5
5,大洋ホエールズ,130,50,75,5,,0.404,21.5
