,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,西武ライオンズ,130,81,43,6,,0.653,- -
1,近鉄バファローズ,130,77,48,5,,0.616,4.5
2,オリックス・ブルーウェーブ,130,64,63,3,,0.504,18.5
3,日本ハム・ファイターズ,130,53,72,5,,0.424,28.5
4,福岡ダイエーホークス,130,53,73,4,,0.421,29.0
5,ロッテ・オリオンズ,130,48,77,5,,0.384,33.5
