,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,順位 前 後 期 期
0,近鉄バファローズ,130,74,45,11,,0.622,1 / 2
1,阪急ブレーブス,130,75,44,11,,0.63,2 / 1
2,日本ハム・ファイターズ,130,63,60,7,,0.512,3 / 4
3,ロッテ・オリオンズ,130,55,63,12,,0.466,4 / 3
4,南海ホークス,130,46,73,11,,0.387,5 / 6
5,西武ライオンズ,130,45,73,12,,0.381,6 / 5
