,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,福岡ダイエーホークス,135,78,54,3,,0.591,- -
1,西武ライオンズ,135,75,59,1,,0.56,4.0
2,オリックス・ブルーウェーブ,135,68,65,2,,0.511,10.5
3,千葉ロッテマリーンズ,135,63,70,2,,0.474,15.5
4,日本ハム・ファイターズ,135,60,73,2,,0.451,18.5
5,大阪近鉄バファローズ,135,54,77,4,,0.412,23.5
