,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,西武ライオンズ,135,76,56,3,,0.576,- -
1,オリックス・ブルーウェーブ,135,71,61,3,,0.538,5.0
2,近鉄バファローズ,135,68,63,4,,0.519,7.5
3,日本ハム・ファイターズ,135,63,71,1,,0.47,14.0
4,福岡ダイエーホークス,135,63,71,1,,0.47,14.0
5,千葉ロッテマリーンズ,135,57,76,2,,0.429,19.5
