,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,西武ライオンズ,130,74,53,3,,0.583,- -
1,日本ハム・ファイターズ,130,71,52,7,,0.577,1.0
2,オリックス・ブルーウェーブ,130,70,56,4,,0.556,3.5
3,近鉄バファローズ,130,66,59,5,,0.528,7.0
4,千葉ロッテマリーンズ,130,51,77,2,,0.398,23.5
5,福岡ダイエーホークス,130,45,80,5,,0.36,28.0
