,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,順位 前 後 期 期
0,ロッテ・オリオンズ,130,69,50,11,,0.58,2 / 1
1,阪急ブレーブス,130,69,51,10,,0.575,1 / 3
2,南海ホークス,130,59,55,16,,0.518,4 / 2
3,太平洋クラブ・ライオンズ,130,59,64,7,,0.48,3 / 4
4,近鉄バファローズ,130,56,66,8,,0.459,5 / 4
5,日本ハム・ファイターズ,130,49,75,6,,0.395,6 / 6
