,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,読売ジャイアンツ,144,80,63,1,,0.559,- -
1,中日ドラゴンズ,144,78,64,2,,0.549,1.5
2,阪神タイガース,144,74,66,4,,0.529,4.5
3,横浜ベイスターズ,144,71,72,1,,0.497,9.0
4,広島東洋カープ,144,60,82,2,,0.423,19.5
5,東京ヤクルトスワローズ,144,60,84,0,,0.417,20.5
