,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,順位 前 後 期 期
0,阪急ブレーブス,130,82,39,9,,0.678,1 / 1
1,近鉄バファローズ,130,71,46,13,,0.607,2 / 2
2,日本ハム・ファイターズ,130,55,63,12,,0.466,3 / 4
3,ロッテ・オリオンズ,130,53,62,15,,0.461,5 / 3
4,クラウンライター・ライオンズ,130,51,67,12,,0.432,4 / 5
5,南海ホークス,130,42,77,11,,0.353,6 / 6
