,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,順位 前 後 期 期
0,南海ホークス,130,68,58,4,,0.54,1 / 3
1,阪急ブレーブス,130,77,48,5,,0.616,3 / 1
2,ロッテ・オリオンズ,130,70,49,11,,0.588,2 / 2
3,太平洋クラブ・ライオンズ,130,59,64,7,,0.48,4 / 5
4,日拓ホーム・フライヤーズ,130,55,69,6,,0.444,5 / 3
5,近鉄バファローズ,130,42,83,5,,0.336,6 / 6
