,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率
0,北海道日本ハムファイターズ,136,82,54,0,,0.603
1,西武ライオンズ,136,80,54,2,,0.597
2,福岡ソフトバンクホークス,136,75,56,5,,0.573
3,千葉ロッテマリーンズ,136,65,70,1,,0.481
4,オリックス・バファローズ,136,52,81,3,,0.391
5,東北楽天ゴールデンイーグルス,136,47,85,4,,0.356
