,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,福岡ソフトバンクホークス,143,94,49,0,,0.657,- -
1,埼玉西武ライオンズ,143,79,61,3,,0.564,13.5
2,東北楽天ゴールデンイーグルス,143,77,63,3,,0.55,15.5
3,オリックス・バファローズ,143,63,79,1,,0.444,30.5
4,北海道日本ハムファイターズ,143,60,83,0,,0.42,34.0
5,千葉ロッテマリーンズ,143,54,87,2,,0.383,39.0
