,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,読売ジャイアンツ,130,70,52,8,,0.574,- -
1,中日ドラゴンズ,130,65,60,5,,0.52,6.5
2,大洋ホエールズ,130,61,59,10,,0.5083,8.0
3,広島東洋カープ,130,63,61,6,,0.508,8.0
4,阪神タイガース,130,57,64,9,,0.471,12.5
5,ヤクルトアトムズ,130,52,72,6,,0.419,19.0
