,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,オリックス・ブルーウェーブ,130,82,47,1,,0.636,- -
1,千葉ロッテマリーンズ,130,69,58,3,,0.543,12.0
2,西武ライオンズ,130,67,57,6,,0.54,12.5
3,日本ハム・ファイターズ,130,59,68,3,,0.465,22.0
4,福岡ダイエーホークス,130,54,72,4,,0.429,26.5
5,近鉄バファローズ,130,49,78,3,,0.386,32.0
