,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,西武ライオンズ,130,71,45,14,,0.612,- -
1,阪急ブレーブス,130,64,56,10,,0.533,9.0
2,日本ハム・ファイターズ,130,63,60,7,,0.512,11.5
3,南海ホークス,130,57,63,10,,0.475,16.0
4,ロッテ・オリオンズ,130,51,65,14,,0.44,20.0
5,近鉄バファローズ,130,52,69,9,,0.43,21.5
