,チーム,試 合,勝 利,敗 北,引 分,Unnamed: 5,勝 率,ゲーム差
0,中日ドラゴンズ,144,79,62,3,,0.56,- -
1,阪神タイガース,144,78,63,3,,0.553,1.0
2,読売ジャイアンツ,144,79,64,1,,0.552,1.0
3,東京ヤクルトスワローズ,144,72,68,4,,0.514,6.5
4,広島東洋カープ,144,58,84,2,,0.408,21.5
5,横浜ベイスターズ,144,48,95,1,,0.336,32.0
